0,0,125,0,125,56,0,56
162,0,300,0,300,37,162,37
850,0,906,0,906,31,850,31
893,0,1081,0,1081,212,893,212
1269,-80,1976,257,1914,387,1207,49
1862,0,2031,0,2031,106,1862,106
2130,-72,2550,137,2487,262,2067,52
1118,25,1212,25,1212,143,1118,143
817,17,907,48,796,364,706,332
2031,37,2162,37,2162,168,2031,168
1214,29,1495,161,1439,280,1158,148
1846,48,2146,190,2087,314,1787,171
1056,125,1175,125,1175,250,1056,250
914,136,1337,331,1279,456,856,261
1231,159,1736,398,1678,520,1173,281
1498,155,1776,286,1720,405,1442,275
58,250,295,201,314,296,78,345
2144,195,2459,358,2398,475,2083,312
0,262,81,262,81,356,0,356
850,275,943,275,943,387,850,387
1829,184,2392,455,2279,689,1717,418
931,312,1025,312,1025,418,931,418
-21,365,249,302,272,401,1,464
700,331,800,331,800,475,700,475
825,375,918,375,918,500,825,500
1074,353,1455,499,1416,600,1035,453
1339,338,1862,559,1811,680,1288,459
893,400,1000,400,1000,537,893,537
45,439,204,419,216,510,56,530
1744,399,2081,550,2026,672,1689,521
0,450,56,450,56,525,0,525
1033,444,1284,528,1249,633,998,549
671,477,1131,602,1097,726,638,602
1462,543,1612,543,1612,668,1462,668
1287,575,1443,575,1443,687,1287,687
2082,554,2272,637,2222,751,2032,668
1832,580,2067,623,2041,770,1805,727
1654,598,1971,718,1936,811,1619,690
1462,643,1550,643,1550,737,1462,737
1150,656,1256,656,1256,787,1150,787
700,675,781,675,781,781,700,781
1581,661,1871,773,1836,864,1546,753
2075,670,2213,712,2181,817,2043,775
774,681,1107,761,1055,978,722,899
1369,691,1579,761,1553,840,1343,770
1250,725,1381,725,1381,818,1250,818
868,725,1025,725,1025,850,868,850
1558,747,1831,847,1776,997,1503,897
675,775,756,775,756,875,675,875
1031,768,1175,768,1175,881,1031,881
1884,778,2019,832,1980,929,1845,875
1182,794,1378,835,1357,935,1161,894
1475,806,1568,806,1568,881,1475,881
618,868,781,868,781,1075,618,1075
1371,844,1619,897,1600,989,1351,937
1118,881,1325,925,1305,1019,1099,975
749,892,981,934,961,1045,729,1003
1318,920,1555,979,1530,1079,1293,1020
984,945,1185,981,1166,1083,965,1047
1556,1000,1600,1000,1600,1050,1556,1050
1185,993,1429,1030,1415,1120,1171,1083
814,1012,1025,1031,1017,1118,806,1098
737,1050,800,1050,800,1156,737,1156
1029,1031,1346,1100,1325,1195,1008,1126
1418,1050,1537,1050,1537,1143,1418,1143
562,1056,750,1056,750,1237,562,1237
825,1100,1025,1100,1025,1212,825,1212
1043,1137,1175,1137,1175,1200,1043,1200
837,1181,893,1181,893,1225,837,1225
1262,1187,1393,1187,1393,1256,1262,1256
1187,1206,1231,1206,1231,1243,1187,1243
1408,1199,1664,1237,1653,1310,1397,1271
1031,1225,1243,1225,1243,1300,1031,1300
912,1243,975,1243,975,1281,912,1281
563,1234,929,1263,923,1341,557,1312
1243,1250,1318,1250,1318,1325,1243,1325
1325,1257,1467,1269,1461,1334,1320,1323
