814,-79,1172,69,1126,178,768,29
1076,-35,1355,26,1331,131,1053,69
1306,0,1512,0,1512,106,1306,106
1550,0,1681,0,1681,56,1550,56
1712,0,1912,0,1912,81,1712,81
1993,0,2162,0,2162,125,1993,125
631,0,712,0,712,87,631,87
-18,85,169,31,191,106,2,159
760,20,938,79,899,195,721,136
1806,50,2068,50,2068,281,1806,281
1993,93,2062,93,2062,193,1993,193
606,106,706,106,706,231,606,231
1156,100,1300,100,1300,231,1156,231
952,97,1299,227,1260,332,913,201
-18,164,131,114,155,185,5,235
741,117,935,192,887,316,693,241
0,212,93,212,93,293,0,293
918,194,1161,282,1120,396,876,307
584,236,1033,367,1000,478,551,347
1162,312,1306,312,1306,387,1162,387
1068,393,1175,393,1175,493,1068,493
1198,387,1417,404,1409,518,1189,502
598,408,688,426,624,734,534,715
668,437,762,437,762,587,668,587
768,456,918,456,918,525,768,525
950,471,1097,482,1092,548,945,537
1119,487,1355,509,1348,580,1113,557
757,507,999,528,991,617,750,596
1367,512,1589,570,1571,637,1349,578
1065,540,1307,573,1297,643,1055,609
665,567,911,589,903,679,657,657
1311,564,1615,637,1598,707,1295,634
926,592,1165,622,1153,715,915,685
1176,632,1487,657,1480,735,1170,710
631,650,712,650,712,725,631,725
752,651,1011,671,1004,761,745,741
1625,668,1668,668,1668,718,1625,718
1510,669,1644,703,1627,769,1494,736
1015,679,1413,720,1404,806,1006,765
1662,693,1768,693,1768,743,1662,743
525,706,693,706,693,893,525,893
1781,706,1831,706,1831,737,1781,737
693,725,775,725,775,818,693,818
1668,737,1881,737,1881,793,1668,793
801,739,1043,757,1036,848,794,829
1066,758,1310,796,1296,885,1053,847
518,793,600,793,600,881,518,881
1326,796,1491,807,1485,896,1320,885
1505,805,1822,855,1807,952,1489,902
808,819,1006,837,997,938,799,920
1051,850,1381,877,1372,974,1043,947
1833,850,2045,921,2011,1020,1800,950
506,887,593,887,593,987,506,987
578,875,919,901,910,1018,569,991
1388,888,1630,906,1623,996,1381,979
1625,907,1939,970,1919,1070,1606,1007
932,926,1111,939,1105,1035,926,1022
1125,950,1206,950,1206,1037,1125,1037
1277,963,1536,981,1529,1078,1270,1060
493,981,662,981,662,1093,493,1093
675,993,768,993,768,1093,675,1093
1925,993,2050,993,2050,1106,1925,1106
1537,993,1700,993,1700,1106,1537,1106
781,1012,1043,1012,1043,1112,781,1112
1056,1037,1218,1037,1218,1131,1056,1131
1718,1043,1868,1043,1868,1143,1718,1143
1247,1048,1503,1078,1492,1174,1236,1144
1875,1075,2012,1075,2012,1193,1875,1193
489,1082,818,1107,811,1205,482,1180
878,1108,1126,1131,1117,1235,868,1212
1133,1133,1652,1188,1641,1286,1123,1231
487,1193,700,1193,700,1293,487,1293
714,1199,1112,1228,1105,1328,707,1299
1168,1237,1437,1237,1437,1350,1168,1350
1493,1256,1773,1309,1751,1423,1471,1370
1776,1296,2063,1395,2022,1512,1736,1413
413,1403,871,1416,867,1574,408,1561
1468,1450,1550,1450,1550,1550,1468,1550
1575,1443,1820,1497,1794,1614,1549,1559
1806,1518,1918,1518,1918,1625,1806,1625
1393,1550,1531,1550,1531,1650,1393,1650
1918,1575,1956,1575,1956,1650,1918,1650
1618,1575,1700,1575,1700,1681,1618,1681
1537,1587,1593,1587,1593,1662,1537,1662
1706,1600,1825,1600,1825,1706,1706,1706
1825,1625,1956,1625,1956,1737,1825,1737
400,1662,531,1662,531,1762,400,1762
618,1675,706,1675,706,1781,618,1781
537,1687,600,1687,600,1781,537,1781
1562,1693,1675,1693,1675,1800,1562,1800
1697,1691,1969,1756,1941,1874,1668,1809
